Make,Model,Details,Storage,Device,Monthly Policy Price,Replacement Price,Release Price,Release Price url,Os,InitialVersion,MaxVersion,Processor,Cores,Memory,SSD,Physical Screen,Resolution,Camera,4G,Frequency,Release Date,Picture,Urls,Replacement Make,Replacement Model,Replacement Memory,
Huawei,Mate 9,Huawei Mate 9,64,'HWMHA',6.99,,£600.00,http://www.trustedreviews.com/huawei-mate-9-review,Android,7.0,,2400,8,4096,Y,149.86,1080 x 1920,20,Y,850 / 900 / 1800 / 1900 ,12/16,,http://www.gsmarena.com/huawei_mate_9-8073.php,,,,
Sony,Xperia E4,Sony Xperia E4,8,"'E2104','E2105'",3.99,,£99.00,http://www.trustedreviews.com/opinions/moto-e-2-vs-sony-xperia-e4,Android,4.4.4,,1300,4,1024,Y,127,540 x 960,5,N,850 / 900 / 1800 / 1900 ,2/15,,http://www.gsmarena.com/sony_xperia_e4-6882.php,,,,
Sony,Xperia E5,Sony Xperia E5,16,"'F3311','F3313'",3.99,,£150.00,http://www.techradar.com/reviews/phones/mobile-phones/sony-xperia-e5-1328508/review,Android,6.0,,1300,4,1536,Y,127,720 x 1280,13,Y,850 / 900 / 1800 / 1900 ,6/16,,http://www.gsmarena.com/sony_xperia_e5-8113.php,,,,
HTC,10 evo,HTC 10 evo,32,'htc_acauhl',5.99,,£450.00,http://www.trustedreviews.com/htc-10-evo-review,Android,7.0,,1500,8,3072,Y,139.7,1440 x 2560,16,Y,850 / 900 / 1800 / 1900 ,11/16,,http://www.gsmarena.com/htc_10_evo-8404.php,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
